title	genre	year	rating	votes
The Dark Knight	Comedy,Drama	2014	7.6	1091305
Inception	Drama	2013	6.4	249974
Interstellar	Mystery,Thriller	2002	7.2	260616
The Shawshank Redemption	Action,Adventure	1996	7.1	2968962
The Godfather	Horror,Thriller	2025	8.5	1892564
Pulp Fiction	Fantasy,Adventure	2009	7.6	2618637
Fight Club	Mystery,Thriller	1990	7.1	20475
Forrest Gump	Crime,Drama	1997	6.6	158295
The Matrix	Comedy,Drama	2005	6.7	1258449
Avengers Endgame	Biography,Drama	2003	6.8	1025439
The Lord of the Rings	Adventure,Sci-Fi	2001	7.7	2972481
The Prestige	Comedy,Drama	2012	6.8	1344362
Gladiator	Horror,Thriller	2004	7.4	388576
The Departed	Horror,Thriller	2017	9.4	2757660
Whiplash	Fantasy,Adventure	2023	8.1	690993
Parasite	Crime,Drama	1991	7	2717999
Joker	Drama	2021	8.3	623105
Dune	Fantasy,Adventure	2012	6.8	725995
Oppenheimer	Fantasy,Adventure	2011	5.2	1346266
Titanic	Adventure,Sci-Fi	2014	6.3	2199111
Avatar	Crime,Thriller	2011	5.3	762485
Jurassic Park	Crime,Drama	2011	6.9	2298074
The Avengers	Action,Thriller	1995	7.3	1881401
Iron Man	Fantasy,Adventure	2004	9	1961326
Spider-Man	Romance,Drama	2022	7.6	2683212
Black Panther	Sci-Fi,Drama	1997	7.1	2845164
Mad Max Fury Road	Crime,Thriller	1994	8.1	2613775
La La Land	Action,Thriller	1993	5	1378869
The Social Network	Romance,Drama	1995	7.5	2424470
Gone Girl	Crime,Drama	2021	8.1	2090712
Prisoners	Action,Drama	2019	5.7	1037048
Arrival	Romance,Drama	2024	8.4	2242484
Gravity	Biography,Drama	2005	7.3	153499
Toy Story	Crime,Thriller	2002	6.7	349119
Up	Mystery,Thriller	2019	7.5	61867
Coco	Romance,Drama	2008	9.5	753815
Finding Nemo	Animation,Comedy	2006	7.3	406304
Inside Out	Action,Drama	2008	7.5	2854690
Zootopia	Horror,Thriller	2017	6.7	1284882
Moana	Horror,Thriller	2015	6.4	1093814
Frozen	Action,Adventure	2015	8.1	2655337
The Lion King	Biography,Drama	2012	6.3	1042877
Shrek	Romance,Drama	1998	7.4	2299984
John Wick	Romance,Drama	2001	6.6	383229
Deadpool	Action,Adventure	1990	7.8	1912127
Logan	Sci-Fi,Drama	1990	7.5	1068892
Casino Royale	Sci-Fi,Drama	2023	8.2	960244
Skyfall	Action,Adventure	2021	6.7	924280
Top Gun Maverick	Sci-Fi,Drama	2014	7	2866951
Ford v Ferrari	Adventure,Sci-Fi	1990	6.2	1465791
The Dark Knight 2	Romance,Drama	2005	6.9	2468652
Inception 2	Comedy,Drama	1994	7.4	214067
Interstellar 2	Drama	2011	8.1	2693575
The Shawshank Redemption 2	Animation,Comedy	2018	6.4	1943311
The Godfather 2	Adventure,Sci-Fi	1992	8.2	2313836
Pulp Fiction 2	Crime,Drama	2001	8.5	298590
Fight Club 2	Adventure,Sci-Fi	2015	7.5	317848
Forrest Gump 2	Comedy,Drama	2005	9.1	1232034
The Matrix 2	Crime,Drama	2011	6.4	1326783
Avengers Endgame 2	Animation,Comedy	2018	5.7	92824
The Lord of the Rings 2	Comedy,Drama	2003	5.5	2321188
The Prestige 2	Action,Thriller	2017	8.8	1806308
Gladiator 2	Drama	1994	7.9	1321067
The Departed 2	Animation,Comedy	2019	6.7	26655
Whiplash 2	Romance,Drama	1994	7.4	342315
Parasite 2	Sci-Fi,Drama	2001	6.2	1690255
Joker 2	Action,Thriller	2005	9.5	460994
Dune 2	Biography,Drama	2015	7.4	2247033
Oppenheimer 2	Animation,Comedy	2015	7.4	2540976
Titanic 2	Biography,Drama	2010	7.5	35207
Avatar 2	Crime,Drama	2025	7.7	938341
Jurassic Park 2	Action,Thriller	2022	7.4	1567553
The Avengers 2	Drama	2019	6.5	1917045
Iron Man 2	Romance,Drama	2012	7.8	2844440
Spider-Man 2	Action,Adventure	1999	9	353799
Black Panther 2	Romance,Drama	1994	8.5	1207568
Mad Max Fury Road 2	Comedy,Drama	2025	8.8	1523188
La La Land 2	Romance,Drama	2023	6.5	170602
The Social Network 2	Mystery,Thriller	2020	6.1	394774
Gone Girl 2	Fantasy,Adventure	1999	6.9	217785
Prisoners 2	Action,Adventure	2008	7.3	1387480
Arrival 2	Adventure,Sci-Fi	2021	8.3	1208552
Gravity 2	Sci-Fi,Drama	1990	5.6	2856494
Toy Story 2	Action,Drama	1994	8.8	1713636
Up 2	Drama	1993	7.1	2948262
Coco 2	Action,Thriller	2005	6.9	2393793
Finding Nemo 2	Fantasy,Adventure	2013	6.2	1297576
Inside Out 2	Drama	2005	5.6	1739493
Zootopia 2	Action,Thriller	1991	8	1181387
Moana 2	Sci-Fi,Drama	2017	7.4	1808110
Frozen 2	Crime,Thriller	2021	5.7	246046
The Lion King 2	Crime,Thriller	2016	6	2748885
Shrek 2	Biography,Drama	2009	7	1924901
John Wick 2	Drama	2013	9	1896720
Deadpool 2	Crime,Thriller	2001	6.7	146970
Logan 2	Mystery,Thriller	2024	5.8	2741970
Casino Royale 2	Action,Adventure	2022	7	1367723
Skyfall 2	Action,Thriller	2022	6.9	1055646
Top Gun Maverick 2	Biography,Drama	2001	4.6	2428581
Ford v Ferrari 2	Romance,Drama	1992	6.8	79641
The Dark Knight 3	Action,Thriller	1990	6.5	12615
Inception 3	Biography,Drama	2022	8	2906995
Interstellar 3	Sci-Fi,Drama	1999	9	1343776
The Shawshank Redemption 3	Drama	2018	8.4	2488131
The Godfather 3	Sci-Fi,Drama	2002	6.9	1575333
Pulp Fiction 3	Action,Adventure	2001	6.2	2927837
Fight Club 3	Action,Adventure	2020	9.8	2049391
Forrest Gump 3	Fantasy,Adventure	1991	7.4	2495338
The Matrix 3	Sci-Fi,Drama	2024	7.2	1170939
Avengers Endgame 3	Comedy,Drama	2012	7.2	797157
The Lord of the Rings 3	Romance,Drama	2006	7.4	647796
